"prefectures","value","year","sex"
"岩手県","677.7",1949,"female"
"岩手県","95.7",1949,"ratio"
"岩手県","664",1950,"male"
"岩手県","683",1950,"female"
"岩手県","97.3",1950,"ratio"
"岩手県","673",1951,"male"
"岩手県","693",1951,"female"
"岩手県","97.1",1951,"ratio"
"岩手県","680",1952,"male"
"岩手県","703",1952,"female"
"岩手県","96.8",1952,"ratio"
"岩手県","687",1953,"male"
"岩手県","712",1953,"female"
"岩手県","96.5",1953,"ratio"
"岩手県","692",1954,"male"
"岩手県","720",1954,"female"
"岩手県","96.1",1954,"ratio"
"岩手県","699",1955,"male"
"岩手県","729",1955,"female"
"岩手県","95.9",1955,"ratio"
"岩手県","704",1956,"male"
"岩手県","733",1956,"female"
"岩手県","96",1956,"ratio"
"岩手県","702",1957,"male"
"岩手県","738",1957,"female"
"岩手県","95.1",1957,"ratio"
"岩手県","704",1958,"male"
"岩手県","742",1958,"female"
"岩手県","94.8",1958,"ratio"
"岩手県","704",1959,"male"
"岩手県","745",1959,"female"
"岩手県","94.5",1959,"ratio"
"岩手県","703",1960,"male"
"岩手県","746",1960,"female"
"岩手県","94.2",1960,"ratio"
"岩手県","699",1961,"male"
"岩手県","745",1961,"female"
"岩手県","93.8",1961,"ratio"
"岩手県","694",1962,"male"
"岩手県","744",1962,"female"
"岩手県","93.4",1962,"ratio"
"岩手県","690",1963,"male"
"岩手県","741",1963,"female"
"岩手県","93.1",1963,"ratio"
"岩手県","684",1964,"male"
"岩手県","736",1964,"female"
"岩手県","92.9",1964,"ratio"
"岩手県","679",1965,"male"
"岩手県","732",1965,"female"
"岩手県","92.9",1965,"ratio"
"岩手県","675",1966,"male"
"岩手県","727",1966,"female"
"岩手県","92.8",1966,"ratio"
"岩手県","671",1967,"male"
"岩手県","725",1967,"female"
"岩手県","92.7",1967,"ratio"
"岩手県","668",1968,"male"
"岩手県","722",1968,"female"
"岩手県","92.6",1968,"ratio"
"岩手県","664",1969,"male"
"岩手県","718",1969,"female"
"岩手県","92.5",1969,"ratio"
"岩手県","658",1970,"male"
"岩手県","713",1970,"female"
"岩手県","92.4",1970,"ratio"
"岩手県","656",1971,"male"
"岩手県","710",1971,"female"
"岩手県","92.3",1971,"ratio"
"岩手県","656",1972,"male"
"岩手県","710",1972,"female"
"岩手県","92.4",1972,"ratio"
"岩手県","658",1973,"male"
"岩手県","711",1973,"female"
"岩手県","92.6",1973,"ratio"
"岩手県","662",1974,"male"
